,SAMPLE_ID,labels_v3
0,Sample_0003,1
1,Sample_0013,1
2,Sample_0015,1
3,Sample_0016,1
4,Sample_0018,0
5,Sample_0019,1
6,Sample_0020,1
7,Sample_0022,1
8,Sample_0023,0
9,Sample_0025,1
10,Sample_0027,0
11,Sample_0030,1
12,Sample_0031,1
13,Sample_0034,1
14,Sample_0035,1
15,Sample_0037,1
16,Sample_0039,1
17,Sample_0043,1
18,Sample_0044,1
19,Sample_0047,1
20,Sample_0052,1
21,Sample_0062,1
22,Sample_0083,0
23,Sample_0085,1
24,Sample_0086,1
25,Sample_0087,1
26,Sample_0088,1
27,Sample_0089,0
28,Sample_0091,1
29,Sample_0092,1
30,Sample_0094,1
31,Sample_0099,0
32,Sample_0100,0
33,Sample_0105,1
34,Sample_0106,1
35,Sample_0108,1
36,Sample_0109,1
37,Sample_0112,1
38,Sample_0114,1
39,Sample_0118,1
40,Sample_0123,0
41,Sample_0124,0
42,Sample_0131,1
43,Sample_0214,1
44,Sample_0215,1
45,Sample_0217,1
46,Sample_0218,1
47,Sample_0219,1
48,Sample_0220,1
49,Sample_0222,1
50,Sample_0223,0
51,Sample_0224,1
52,Sample_0227,1
53,Sample_0228,1
54,Sample_0230,1
55,Sample_0231,1
56,Sample_0232,1
57,Sample_0233,1
58,Sample_0234,1
59,Sample_0235,1
60,Sample_0240,1
61,Sample_0241,1
62,Sample_0242,1
63,Sample_0243,1
64,Sample_0244,1
65,Sample_0245,1
66,Sample_0246,1
67,Sample_0248,1
68,Sample_0249,1
69,Sample_0251,1
70,Sample_0252,1
71,Sample_0253,1
